timestamp,sweep,model,harness,prompt,max_tokens,kv_mode,sink_tokens,simd_matmul,fused_kv_min,block_len,accept_mode,temp,ddtree,prefill_s,decode_tps,total_tokens,accept_rate,extra
2026-05-24T22:08:21Z,full,gemma-4-26B-A4B-it,bench_dflash,short,256,unset,-,-,-,draft,rejection,0.7,off,0.732,0.00,0,0.000,avg_block_len=0.00
2026-05-24T22:11:40Z,full,gemma-4-26B-A4B-it,bench_dflash,short,256,TURBO_KV,-,-,-,draft,rejection,0.7,off,0.738,2.89,256,0.115,avg_block_len=4.26;adaptive=9/152/9;kv_backend=turboquant
2026-05-24T22:13:44Z,full,gemma-4-26B-A4B-it,bench_dflash,short,256,unset,-,-,-,draft,rejection,0.7,on,0.882,3.58,256,0.299,avg_block_len=4.43
2026-05-24T22:15:29Z,full,gemma-4-26B-A4B-it,bench_dflash,long,64,unset,-,-,-,draft,rejection,0.0,off,20.366,2.28,64,0.042,avg_block_len=4.10
2026-05-24T22:17:11Z,full,gemma-4-26B-A4B-it,bench_dflash,long,64,TURBO_KV,-,-,-,draft,rejection,0.0,off,21.226,3.35,64,0.178,avg_block_len=4.76;adaptive=4/28/1;kv_backend=turboquant
2026-05-24T22:19:15Z,full,gemma-4-26B-A4B-it,bench_dflash,long,64,unset,-,-,-,draft,rejection,0.0,on,20.827,2.00,63,0.028,avg_block_len=0.44
2026-05-24T22:21:04Z,full,gemma-4-26B-A4B-it,bench_dflash,long,64,unset,-,-,-,draft,rejection,0.7,off,20.784,2.19,64,0.042,avg_block_len=4.10
2026-05-24T22:22:43Z,full,gemma-4-26B-A4B-it,bench_dflash,long,64,TURBO_KV,-,-,-,draft,rejection,0.7,off,20.434,3.38,64,0.184,avg_block_len=4.32;adaptive=3/30/1;kv_backend=turboquant
2026-05-24T22:24:31Z,full,gemma-4-26B-A4B-it,bench_dflash,long,64,unset,-,-,-,draft,rejection,0.7,on,20.255,2.79,63,0.069,avg_block_len=1.07
2026-05-24T22:29:25Z,full,gemma-4-26B-A4B-it,bench_dflash,long,256,unset,-,-,-,draft,rejection,0.0,off,21.696,2.07,256,0.030,avg_block_len=4.25
2026-05-24T22:34:29Z,full,gemma-4-26B-A4B-it,bench_dflash,long,256,TURBO_KV,-,-,-,draft,rejection,0.0,off,22.173,2.21,256,0.054,avg_block_len=4.19;adaptive=10/185/11;kv_backend=turboquant
2026-05-24T22:40:47Z,full,gemma-4-26B-A4B-it,bench_dflash,long,256,unset,-,-,-,draft,rejection,0.0,on,23.594,1.52,255,0.014,avg_block_len=0.22
2026-05-24T22:45:43Z,full,gemma-4-26B-A4B-it,bench_dflash,long,256,unset,-,-,-,draft,rejection,0.7,off,19.710,2.22,256,0.061,avg_block_len=4.14
2026-05-24T22:50:46Z,full,gemma-4-26B-A4B-it,bench_dflash,long,256,TURBO_KV,-,-,-,draft,rejection,0.7,off,23.907,2.22,256,0.058,avg_block_len=4.26;adaptive=12/180/11;kv_backend=turboquant
2026-05-24T22:56:15Z,full,gemma-4-26B-A4B-it,bench_dflash,long,256,unset,-,-,-,draft,rejection,0.7,on,20.273,1.92,255,0.022,avg_block_len=0.36
2026-05-29T15:02:27Z,quick,Qwen3.6-27B-4bit,generate,short,64,PAGED,-,-,-,-,greedy,0.0,off,0.89,19.1,64,kv_backend=paged,
2026-05-29T15:02:48Z,quick,Qwen3.6-27B-UD-MLX-4bit,generate,short,64,unset,-,-,-,-,greedy,0.0,off,1.48,9.0,64,kv_backend=standard,
2026-05-29T15:03:07Z,quick,Qwen3.6-27B-UD-MLX-4bit,generate,short,64,QUANTIZE_KV,-,-,-,-,greedy,0.0,off,1.45,9.0,64,kv_backend=quantized,
2026-05-29T15:03:26Z,quick,Qwen3.6-27B-UD-MLX-4bit,generate,short,64,PAGED,-,-,-,-,greedy,0.0,off,1.45,9.0,64,kv_backend=paged,
2026-05-29T15:03:45Z,quick,Qwen3.6-27B-UD-MLX-4bit,generate,short,64,TURBO_KV,0,unset,8192,-,greedy,0.0,off,1.46,8.9,64,kv_backend=turboquant,
2026-05-29T15:04:03Z,quick,Qwen3.6-27B-UD-MLX-4bit,generate,short,64,TURBO_KV,4,unset,8192,-,greedy,0.0,off,1.46,8.9,64,kv_backend=turboquant,
